Account_Number,Customer_Name,Amount_Financed,Product_Description,Currency,Value_Date,Maturity_Date,Interest_Rate,Principal_os_amount,Principal_Overdue_Amount,Interest_Overdue_Amount,Overdue_Days,Branch_Code,PRINCIPAL_INSTALLMENTS,CR_ACC
8468276959,Kamau,2883031,Asset Finance,KES,2021-06-16,2023-07-28,10.46,77127366.75,59480932.34,8849604.98,94,WX56YZ,1614535.17,268110056
7929045300,Kamau,53178393,Retail,KES,2022-05-17,2023-09-05,11.49,14896153.74,54702036.97,1743149.4,25,EF34GH,343077.83,268110003
3284430405,Njeri,79760448,Corporate,KES,2021-08-16,2023-06-23,14.6,27249026.78,61797646.22,9920791.83,167,AB12CD,3404987.48,268110002
6296048761,Muthoni,8761044,Asset Finance,KES,2021-09-02,2023-07-18,14.54,5169501.8,108266666.7,3241027.84,345,WX56YZ,2035499.99,268110000
2312161905,Odhiambo,10105905,Retail,KES,2021-09-01,2023-08-05,12.2,115818121,47014994.83,5146279.66,43,OP12QR,476830.8,268110004
2308110887,Omondi,52197833,Corporate,KES,2022-10-03,2023-01-05,13.19,12737839.37,8915970.46,7847736.8,102,WX56YZ,1011027.5,268110002
6227581202,Ochieng,34909970,Corporate,KES,2022-06-21,2023-08-24,13.96,31362732.58,95479273.54,8935252.25,325,AB12CD,1027200.93,268110005
4037459836,Achieng,98390978,Corporate,USD,2021-04-18,2022-12-10,15.48,41202236.16,39271553.41,9329177.73,111,YZ34AB,3058831.54,268110004
8367335208,Mwangi,82951149,Retail,KES,2023-02-07,2023-05-30,15.19,71559128.25,66814454.21,1527705.64,103,OP12QR,2262350.02,268110056
9704355552,Omondi,32261716,Retail,KES,2022-06-13,2023-01-12,14.52,90079548.25,2366521.68,4671652.84,182,OP12QR,1775395.5,268110000
2595963885,Mwangi,60830707,Corporate,KES,2023-03-18,2023-03-13,11.26,72892160.57,64020708.99,5032515.21,220,CD56EF,475457,268110056
7548644161,Muthoni,11339021,Corporate,KES,2023-08-30,2023-06-20,11.09,70516448.36,44529147.26,4004087.66,298,QR90ST,565845.86,268110005
1177775565,Kamau,113969770,Asset Finance,KES,2021-11-07,2023-03-24,14.19,106830911.6,98860182.81,3241158.17,93,WX56YZ,3331460.12,268110001
6711342557,Achieng,106358744,Corporate,USD,2021-05-12,2023-05-27,14.16,39401985.41,67412069.83,9794683.38,317,OP12QR,1066667.8,268110002
7751065407,Auma,67245993,Asset Finance,KES,2021-04-22,2023-08-24,11.94,54033771.67,89631999.02,2695288.17,132,OP12QR,2243261.53,268110002
219159913,Mwangi,39779446,Asset Finance,KES,2023-05-02,2023-03-25,14.42,2573533.17,85622670.18,6799214.63,48,CD56EF,234006.26,268110003
7639057580,Kamau,109717062,Corporate,KES,2023-01-15,2023-07-08,15.21,69525180.11,66157336.77,5141177.99,122,WX56YZ,1905854.66,268110002
3475353970,Njeri,72019522,Corporate,KES,2021-07-09,2022-12-09,12.92,22599554.37,114104863.5,8387409.59,159,WX56YZ,808000.47,268110003
8178942115,Muthoni,59379392,Retail,KES,2022-08-09,2023-08-12,11.22,77103471.17,32296618.64,7951389.99,81,WX56YZ,2075654.99,268110056
4859600492,Ochieng,46895904,Corporate,USD,2021-01-19,2023-06-25,15.06,94287579.08,22615338.32,428649.25,149,KL90MN,864104.98,268110001
1204373876,Ochieng,94523591,Corporate,KES,2022-01-15,2023-02-18,10.5,23702946.66,74492462.26,7615614,205,AB12CD,1989254.55,268110005
7932380136,Kamau,97489995,Corporate,KES,2023-07-16,2023-04-14,12.42,39202543.35,84267430.59,1011649.87,109,WX56YZ,2654802.68,268110003
9410083199,Kamau,50244479,Retail,KES,2023-07-21,2023-09-07,15.09,1840691.23,107473986.2,5411097.63,325,OP12QR,1095884.27,268110004
9749994850,Njeri,53226638,Staff,KES,2021-08-19,2023-03-16,10.11,118931969.1,58952445.07,3713109.2,171,WX56YZ,1539741.46,268110005
7698118709,Njeri,20647307,Retail,KES,2022-08-08,2023-05-06,10.3,96678549.64,39683423.97,4441353.28,245,YZ34AB,973210.85,268110002
3593302916,Mwangi,61640340,Retail,USD,2022-08-29,2023-07-08,12.85,112117929,96675854.3,9981507.75,317,WX56YZ,207849.3,268110001
272263143,Omondi,103740500,Corporate,KES,2022-08-20,2023-02-27,14.28,73656117.32,60824312.59,1513291.14,21,WX56YZ,2446654.61,268110002
6479198693,Auma,74742714,Retail,KES,2021-02-09,2023-05-28,15.57,46349977.48,42361587.88,2040761.2,149,OP12QR,1980258.36,268110005
3153845036,Mwangi,82096410,Asset Finance,USD,2023-08-02,2023-07-29,12.55,69247848.59,54917662.64,3815299.47,242,MN78OP,1427355.48,268110004
9823191030,Auma,87562586,Retail,KES,2021-07-18,2023-08-02,11.47,1313658.81,72968599.85,4389203.07,161,WX56YZ,619062.14,268110001
1202491740,Auma,57448657,Retail,KES,2021-10-30,2023-05-19,13.73,86200250.22,19004446.7,6898350.09,25,WX56YZ,3039005.57,268110003
5478106955,Auma,79885511,Retail,KES,2021-07-02,2022-12-21,10.47,56970507.49,20150699.28,7869817.77,312,WX56YZ,1342542.08,268110005
8545309039,Achieng,11823796,Staff,KES,2022-06-14,2023-01-29,12.09,98747917.2,36667766.45,1286370.31,65,EF34GH,2782793.6,268110005
5908320082,Auma,61214636,Retail,KES,2021-10-25,2022-12-16,14.85,34884593.94,37052481.18,1429196.28,231,EF90GH,1254016.3,268110001
9523008223,Mwangi,24156138,Corporate,KES,2021-08-07,2023-01-11,13.99,21562575.79,29795047.72,4428018.81,294,OP12QR,3074308.95,268110003
914515920,Odhiambo,114373093,Corporate,KES,2022-09-30,2023-02-03,14.02,13251515.33,113344149,4285870.78,359,OP12QR,2796038.99,268110001
5509508666,Odhiambo,11627297,Corporate,KES,2023-06-03,2023-08-03,14.66,68109163.75,87082080.31,6417120.08,182,MN78OP,3018376.56,268110003
2914812406,Auma,33095133,Asset Finance,KES,2022-04-14,2023-06-23,15.27,76094701.11,34253618.1,4631249.21,95,WX56YZ,612676.36,268110002
5072046629,Achieng,31732331,Corporate,USD,2022-10-05,2023-05-03,9.67,34895517.7,6166546.87,6154654.71,329,OP12QR,491431.19,268110003
8692001779,Ochieng,84460511,Corporate,USD,2021-06-18,2023-08-07,15.33,90531507.92,103509231.1,2479712.65,230,EF34GH,2356134.03,268110003
3908648739,Mwangi,32998027,Asset Finance,KES,2022-11-16,2023-04-27,11.01,87272000.3,70181006.23,7434829.87,255,AB12CD,1701527.49,268110000
1410737865,Ochieng,56286128,Term Loan,KES,2022-06-11,2023-01-12,12.5,102433602.4,36825038.11,6148437.45,193,WX56YZ,3178504.5,268110001
8803964346,Achieng,53943201,Corporate,KES,2021-06-28,2023-07-06,11.23,35323723.64,98098152.42,902255.4,40,CD56EF,1062052.45,268110005
1118629208,Wanjiku,24468717,Retail,KES,2022-05-11,2023-03-11,13.71,119545008.1,85425076.91,6731694.11,18,OP12QR,3327094.03,268110056
9217399603,Odhiambo,18762307,Corporate,KES,2021-08-28,2023-04-16,15.23,42030905.7,8121954.92,9477340.11,46,WX56YZ,1896003.15,268110000
9082289731,Odhiambo,15448843,Term Loan,KES,2022-09-17,2023-01-23,10.15,16824625.97,39581980.27,2150964.39,241,WX56YZ,3014590.88,268110000
9191454602,Auma,26462820,Corporate,KES,2023-04-08,2023-05-28,14.39,7844335.04,104522761.7,644821.7,253,CD56EF,1330387.89,268110002
5363759604,Wanjiku,21580539,Retail,KES,2023-03-02,2023-02-23,15.46,33456685.7,23336494.83,3139750.78,57,OP12QR,985397.27,268110005
5197244570,Odhiambo,66994227,Asset Finance,KES,2023-06-08,2023-08-16,14.84,80181385.98,7783212.88,7343898.63,83,QR90ST,1093184.63,268110056
3738373532,Auma,111187217,Term Loan,KES,2021-03-14,2023-02-07,14.38,108795491.4,119350405.5,5746441.28,301,WX56YZ,1367940.86,268110002
7124820744,Odhiambo,77312755,Retail,KES,2021-02-18,2023-08-27,10.92,13976445.76,111176809.7,5798815.75,364,OP12QR,1522233.77,268110001
3123376753,Ochieng,47200936,Retail,KES,2022-02-15,2023-08-27,11.18,72621201.74,89093820.2,7070707.12,90,OP12QR,538089.71,268110001
1061402893,Njeri,104568119,Asset Finance,KES,2022-06-21,2023-08-18,15.4,35570807.13,86307478.95,9377965.03,163,EF34GH,1906529.71,268110004
1212822975,Auma,30519997,Retail,KES,2022-06-16,2023-03-05,13.84,89626485.07,117712828.7,905505.87,13,CD56EF,840982.05,268110002
5085371135,Wanjiku,64806600,Asset Finance,KES,2022-05-01,2023-08-18,14.33,26216195.56,103272069.7,4688621.41,76,WX56YZ,3211774.09,268110000
8761656740,Odhiambo,47248375,Retail,USD,2023-06-19,2023-01-14,12.62,119376018,4772437.76,218201.17,154,EF34GH,270899.21,268110000
1196594616,Wanjiku,17975168,Corporate,KES,2021-05-22,2023-02-22,11.54,115690802.5,9299734.97,508369.99,246,EF34GH,2510610.29,268110002
8794334723,Kamau,112394192,Retail,USD,2021-10-21,2023-05-21,10.86,91512965.74,13929745.27,6053692.37,250,WX56YZ,857458.62,268110003
3559767672,Wanjiku,56486560,Corporate,KES,2022-09-26,2023-04-23,14.81,1444967.69,118688005.6,2610349.9,141,CD56EF,2968805.47,268110003
9411049290,Muthoni,24283730,Retail,KES,2021-01-23,2023-04-02,12.75,76273781.31,41079839.08,4765397.97,61,WX56YZ,3301984.26,268110003
8044441203,Omondi,22588978,Term Loan,KES,2023-01-18,2023-02-21,12.68,91966148.96,24753017.78,3511862.85,37,OP12QR,1495428.96,268110001
7173575945,Kamau,86359135,Term Loan,KES,2022-03-23,2023-03-13,9.53,58359248.09,46779959.98,8380072.97,160,CD56EF,127605.39,268110001
7345460016,Wanjiku,18496913,Corporate,KES,2023-05-24,2023-03-04,10.73,114119215.2,11207299.83,2387990.17,132,MN78OP,2731564.12,268110001
9125148223,Njeri,61006377,Term Loan,USD,2021-08-05,2022-12-18,12.84,66716790.81,77620609.48,6366841.81,66,YZ34AB,588731.41,268110003
6697287716,Mwangi,44212729,Asset Finance,KES,2022-02-20,2023-08-15,9.89,32439286.35,7820597.15,4755689.1,307,OP12QR,1472406,268110056
2426698343,Omondi,115818194,Corporate,KES,2023-05-13,2023-07-02,12.27,83132681.34,9190059.7,9514236.68,359,WX56YZ,1095223.96,268110000
1224695483,Kamau,20653402,Corporate,KES,2023-07-05,2022-12-16,15.8,65181379.66,96547884.34,4107287.34,256,IJ56KL,1485318.56,268110000
6286829853,Kamau,64724645,Retail,KES,2021-04-27,2023-08-25,9.55,79498266.85,112153210.8,9694611.12,333,OP12QR,1106345.85,268110056
1203918110,Omondi,6573396,Term Loan,KES,2022-05-03,2023-08-08,11.53,87735124.45,89163311.96,3913313.82,109,AB12CD,3427546.02,268110056
5123758079,Auma,101403914,Corporate,KES,2021-07-17,2023-07-29,15.05,93050091.78,106472370.3,7149531.85,37,CD56EF,1428998.96,268110004
2503702795,Wanjiku,68731556,Corporate,KES,2022-04-08,2023-03-30,9.12,110946857.6,42664865.83,7430430.29,68,WX56YZ,2843494.23,268110002
5095226358,Achieng,48218231,Asset Finance,KES,2023-04-12,2023-07-04,12.07,91337035.3,46936389.13,9266630.65,8,EF90GH,2804888.68,268110003
7340920926,Achieng,27764535,Corporate,KES,2022-10-12,2023-01-21,15.31,38484559.93,47110118.87,1696058.04,173,EF34GH,1717048.92,268110004
1206051312,Wanjiku,115800079,Corporate,KES,2022-04-29,2023-06-02,12.36,18328852.13,36204490.18,3252830.32,200,KL90MN,1283413.27,268110001
7205913541,Omondi,20984165,Retail,KES,2022-05-28,2023-06-06,12.04,76042238.22,117811394.1,7314509.23,143,WX56YZ,1097089.13,268110001
9733699393,Muthoni,112312771,Asset Finance,KES,2022-04-19,2022-12-19,14.19,28798721.64,38857746.27,2638396.35,361,WX56YZ,555974.08,268110004
4699645110,Odhiambo,37632713,Asset Finance,USD,2022-10-17,2023-05-02,10.65,80680930.97,70685003.32,8564387.87,265,WX56YZ,3020492.65,268110005
3779937240,Wanjiku,92401875,Asset Finance,USD,2022-10-16,2023-02-24,13.58,41161974.26,76577559.2,9640683.81,241,OP12QR,306580.67,268110005
2573059875,Odhiambo,29752586,Retail,KES,2023-04-06,2023-04-19,9.81,60521020.98,28942642.97,6814067.1,237,WX56YZ,1712541.46,268110003
9881751696,Mwangi,39064848,Asset Finance,KES,2021-10-11,2023-07-03,15.97,76876484.23,103347380.9,1050682.38,77,OP12QR,860195.34,268110005
8089321897,Mwangi,28210621,Corporate,KES,2021-03-19,2023-04-21,14.53,55812489.29,20726646.15,6410385.44,150,CD56EF,2705773.15,268110005
5216287459,Njeri,73008771,Retail,KES,2022-06-02,2023-02-27,12.69,100375264.6,18521164.52,9303350.49,87,WX56YZ,2141425.61,268110056
7013640863,Kamau,21192552,Asset Finance,KES,2022-06-02,2023-01-23,10.91,32338417.48,72794432.93,9315436.72,68,AB12CD,1022348.67,268110005
3015712714,Omondi,58971711,Term Loan,KES,2021-03-13,2023-02-05,11.8,119823471.4,59958050.33,7762614.79,112,MN78OP,2004900.01,268110004
2057485161,Muthoni,87681150,Retail,KES,2021-06-13,2023-04-07,12.06,102288675.6,52872930.77,3310798.31,237,CD56EF,2068239.43,268110005
2960647792,Achieng,39340590,Staff,KES,2021-07-11,2023-01-04,13.37,111271442.1,108352234.4,4907752.65,202,OP12QR,114494.33,268110005
5801705963,Odhiambo,114830278,Term Loan,KES,2023-03-13,2023-06-29,13.1,101917275.1,99606993.54,3046948.51,137,OP12QR,754677.33,268110056
2154463117,Odhiambo,75053141,Term Loan,KES,2023-01-06,2023-02-16,13.2,28373913.02,107563258.9,2634909.65,177,WX56YZ,3041923.07,268110004
3652070746,Ochieng,115360940,Corporate,KES,2021-06-13,2023-08-26,11.38,94435536.22,4325239.82,9483912.28,30,WX56YZ,597081.59,268110003
4277049403,Wanjiku,30878919,Corporate,KES,2021-10-15,2023-01-20,13.11,81865892.21,99238557.19,7505335.45,181,WX56YZ,3280521.05,268110004
7447768119,Odhiambo,4928992,Asset Finance,KES,2021-04-25,2023-01-28,9.68,113571546.2,118368379.2,9028943.25,202,WX56YZ,2112433.3,268110001
9431098928,Auma,59818551,Asset Finance,KES,2022-05-08,2023-09-08,14.11,40901950.32,88026779.98,3003039.1,147,CD56EF,2033967.29,268110000
736548918,Ochieng,94272494,Term Loan,KES,2023-09-09,2023-06-24,10.92,78783406.52,84822545.21,420266.55,325,WX56YZ,1191287.87,268110001
1714505115,Mwangi,111571689,Retail,KES,2023-08-10,2023-06-04,10.15,35816867.44,112503479.2,3553438.07,282,WX56YZ,1874737.94,268110004
7888106857,Muthoni,106358916,Retail,KES,2022-11-10,2023-08-29,15.1,103409284.8,96538236.12,5588643.12,262,CD56EF,1488481.68,268110002
3643358230,Achieng,53947860,Asset Finance,KES,2022-05-25,2023-01-23,12.13,106288646.5,97538824.87,5596348.88,243,MN78OP,1212949.76,268110005
2746390275,Ochieng,106796056,Term Loan,KES,2022-12-26,2023-03-07,9.06,36941599,93226403.08,8590628.27,63,MN78OP,1906291.68,268110001
5206859201,Njeri,87666170,Retail,KES,2023-08-08,2023-01-14,11.11,38394549.35,52542995.06,7470191.42,282,OP12QR,1309657.15,268110001
4404459870,Auma,46649907,Asset Finance,USD,2022-08-05,2023-06-18,10.6,113247670.6,60508134.58,5762680.76,301,CD56EF,1256079.49,268110000
3063286537,Kamau,32414843,Corporate,KES,2023-06-30,2023-05-23,14.69,84837797.67,109236184,9448634.43,362,EF34GH,1125987.93,268110056
7436025910,Wanjiku,88062506,Asset Finance,KES,2021-02-24,2023-06-07,9.99,108862627.1,12208802.47,2714601.47,189,WX56YZ,807936.99,268110003
2790858633,Ochieng,80539417,Term Loan,KES,2021-05-11,2023-08-07,15.14,45746167.58,98225945.01,8672907.76,207,YZ34AB,3204854.4,268110004
1532584927,Mwangi,52593641,Term Loan,USD,2022-08-07,2023-05-26,14.89,86806781.37,47529082.32,7348940.82,24,MN78OP,3243491.41,268110004
1027789714,Omondi,115687761,Retail,USD,2023-03-18,2023-04-21,11.13,68352890.13,9026670.56,294808.47,269,CD56EF,2232269.57,268110005
1791857465,Ochieng,11693507,Corporate,KES,2021-11-26,2023-03-27,14.18,51249845.7,107017947,3707853.11,135,YZ34AB,1054841.42,268110000
4133955926,Ochieng,81900810,Term Loan,KES,2022-09-17,2023-08-06,15.22,48961800.75,47874648.35,6874149.78,15,WX56YZ,743995.66,268110001
2327612884,Mwangi,64365472,Corporate,KES,2023-08-14,2023-05-19,13.62,113570301.7,67200709.82,4967616.2,177,EF90GH,2581261.9,268110000
4437946887,Odhiambo,89281815,Corporate,KES,2022-10-01,2023-08-25,13.28,55055841.56,72185321.82,4023966.4,216,WX56YZ,3373390.54,268110000
3032867371,Auma,42067991,Corporate,KES,2021-04-09,2023-06-07,14.27,105077465.2,106453020.7,4422747.98,226,IJ56KL,1103748.24,268110000
9124378326,Mwangi,36580186,Retail,KES,2022-02-14,2023-02-19,10.75,91453598.88,34220791.4,9918068.07,249,WX56YZ,2156720.11,268110003
4667134714,Wanjiku,109079239,Corporate,KES,2022-05-14,2023-06-30,12.98,10544726.72,103545985.3,3082905.43,90,WX56YZ,2408555.62,268110005
5269666651,Odhiambo,92151552,Corporate,KES,2023-03-04,2023-05-15,11.12,95253940.13,90227157.89,6006989.87,63,CD56EF,2225331.52,268110005
5843208238,Achieng,69925406,Asset Finance,KES,2022-05-02,2023-01-18,15.28,17669765.68,89290982.85,8256503.32,93,EF34GH,2535888.85,268110005
3872533388,Achieng,50593503,Corporate,KES,2023-08-06,2023-06-08,13.67,85518082.85,3291027.91,3234524.72,82,WX56YZ,2840911.16,268110003
8169726387,Mwangi,34609909,Corporate,KES,2021-06-03,2023-06-10,9.42,103920086,51233622.52,3771730.16,310,OP12QR,1428810.5,268110003
4669638482,Auma,4322655,Asset Finance,KES,2021-12-03,2022-12-20,12.62,64621085.83,23676586.5,9648105.86,108,EF34GH,1298274.64,268110005
3910842666,Muthoni,19431330,Asset Finance,KES,2022-06-23,2023-02-22,15.04,7316081.06,104715858.5,3499144.3,323,YZ34AB,581181.75,268110002
6139237708,Muthoni,96356316,Corporate,KES,2021-06-28,2023-02-11,15.43,85035621.62,58240007.18,9838978.61,80,MN78OP,217542.05,268110005
1763978630,Achieng,80036254,Asset Finance,KES,2023-07-15,2023-04-30,12.43,110669780.8,97692519.15,997434.65,36,AB78CD,1637872.81,268110005
3319885007,Muthoni,14170079,Corporate,KES,2022-10-28,2023-02-16,13.1,55596094.18,84888391,3773585.64,321,WX56YZ,798175.31,268110005
4754506298,Omondi,73766792,Corporate,KES,2021-07-03,2023-08-06,12.87,28713548.34,13991645.26,9211132.42,333,WX56YZ,1766395.34,268110001
8528115635,Wanjiku,104249216,Term Loan,KES,2023-07-30,2023-04-16,10.22,83209395.55,105562945.5,4496130.16,353,MN78OP,3140193.39,268110001
3820558982,Kamau,116709883,Asset Finance,USD,2023-01-04,2023-07-21,9.63,65738055.04,77535982.53,2946272.16,263,YZ34AB,176494.43,268110003
6911246879,Njeri,78019497,Corporate,KES,2021-04-01,2023-02-02,9.11,6312971.57,78058688.19,7111342.26,242,CD56EF,1190831.46,268110004
7703316402,Omondi,15515647,Retail,KES,2022-02-26,2023-06-02,13.18,27922592.14,115227959.4,1421821.31,62,CD56EF,330996.37,268110000
6882057483,Muthoni,110020330,Corporate,KES,2021-08-22,2023-04-23,9.76,35159878.24,44289927.48,2840686.44,92,CD56EF,1505400.51,268110003
9364878602,Muthoni,114320838,Corporate,USD,2021-01-08,2023-04-11,11.63,5478626.83,52637119.76,6749752.91,204,CD56EF,369665.32,268110004
3908723099,Njeri,64027896,Staff,USD,2022-07-22,2023-07-19,14.6,100393087.4,38860059.19,890730.85,139,MN78OP,2141777.59,268110056
398199068,Auma,82545487,Asset Finance,KES,2022-04-19,2023-06-26,10.44,98135725.36,39675818.05,5647045.24,8,EF34GH,251256.66,268110005
967557014,Kamau,56637885,Corporate,KES,2022-06-03,2023-07-20,10.31,51456542.26,9775562.99,6599925.48,267,WX56YZ,1307397.43,268110000
3416326352,Achieng,57167498,Retail,KES,2022-03-14,2023-05-10,11.58,68811655.59,29611357.79,9036296.67,74,WX56YZ,3431402.96,268110002
669152710,Muthoni,119323123,Corporate,KES,2021-04-26,2023-05-08,15.6,15652050.67,21265671.88,5207440.99,126,EF34GH,2448696.69,268110003
5669172864,Achieng,64912492,Retail,KES,2023-07-16,2023-01-13,9.88,105546813.8,63890420.79,3441057.3,14,OP12QR,1759048.22,268110056
4085828885,Muthoni,46127749,Retail,KES,2021-06-20,2022-12-23,15.76,13291327.72,78975120.19,1432282.41,182,EF34GH,3383410.89,268110004
4427711327,Auma,33346441,Asset Finance,KES,2023-03-06,2022-12-13,10.17,119616069.5,55255739.93,5616139.89,24,OP12QR,1552547.01,268110000
2905286883,Kamau,82337738,Corporate,USD,2021-01-04,2023-09-03,11.6,101234353.8,85643561.99,2525647.52,221,WX56YZ,94882.32,268110056
8390650904,Omondi,34771253,Retail,KES,2022-09-20,2023-03-31,13,51420910.84,76271325.05,6288691.68,164,WX56YZ,2021431.62,268110003
214398458,Mwangi,76902632,Asset Finance,KES,2023-05-25,2023-07-02,13.59,26329496.13,15453835.09,4006321.25,57,OP12QR,3253699.88,268110005
7765138512,Odhiambo,73609215,Corporate,KES,2022-02-13,2023-07-18,14.39,79175185.77,4376320.17,1730177.64,21,CD56EF,1313297.11,268110001
4939644459,Muthoni,73534003,Corporate,KES,2022-06-23,2023-04-10,11.4,72913651.15,34167974.39,5218930.62,195,KL90MN,1741998.24,268110005
1542313987,Auma,71500205,Corporate,KES,2022-12-27,2023-03-15,13.06,25560614.43,57491782.19,9554517.54,16,OP12QR,2408839.52,268110056
9413040538,Kamau,1593942,Retail,KES,2021-08-09,2023-02-09,13.74,76442613.64,25605325.02,5001480.75,293,CD56EF,97470.32,268110000
2208745421,Ochieng,82183735,Corporate,USD,2022-12-28,2023-01-04,12.06,77591558.02,76206511.38,1543892.23,134,OP12QR,628030.92,268110005
8532590426,Achieng,113210886,Term Loan,KES,2022-10-09,2023-03-05,15.29,10348884.95,95923303.86,2724844.25,326,YZ34AB,2327822.36,268110004
1071684404,Auma,42748627,Corporate,KES,2022-01-23,2023-02-04,15.96,75228507.1,81315759.16,8956658,70,WX56YZ,1140373.97,268110000
584145634,Mwangi,116231580,Staff,KES,2022-12-08,2023-03-13,13.65,107155757.2,54284731.99,2815059.34,117,QR90ST,3472274.08,268110000
8882547776,Wanjiku,35502961,Term Loan,KES,2021-10-07,2023-05-30,9.76,29709219.98,76418283.73,965861.08,10,OP12QR,2237386.14,268110004
7749754068,Odhiambo,11351428,Retail,KES,2021-04-11,2023-02-01,9.25,25319168.53,42745450.25,1479062.93,149,IJ56KL,2044636.47,268110004
9471164219,Auma,103570128,Corporate,KES,2021-11-25,2023-06-08,9.17,21939554.29,98146113.83,598286.8,72,OP12QR,1630572.5,268110002
4120181580,Kamau,21204170,Term Loan,KES,2023-02-17,2023-03-27,13.91,117950905.6,119931978.9,1338625.46,160,AB12CD,3204072.46,268110003
8772935254,Auma,73002043,Retail,KES,2022-09-23,2023-08-10,14.64,43517141.38,75374501.91,8687543.24,258,WX56YZ,779852.34,268110005
6323916151,Achieng,8186349,Corporate,KES,2021-12-03,2023-09-08,13.53,34133454.66,85364116.4,1426977.09,155,OP12QR,965569.09,268110002
7943829571,Wanjiku,16742948,Corporate,KES,2021-04-09,2022-12-26,12.34,66750924.2,114390857.5,275019.84,259,IJ56KL,1511463.54,268110004
6413338647,Mwangi,45448864,Corporate,KES,2022-01-28,2023-07-22,15.81,66277777.99,40637470.54,571230.36,237,WX56YZ,1335729.76,268110005
3522701069,Muthoni,53438450,Retail,KES,2022-11-29,2023-03-21,13.13,72637099.91,28146972.63,8677729.42,225,WX56YZ,1521317.36,268110002
3679151897,Omondi,74968930,Corporate,KES,2022-05-08,2023-06-02,10.67,48863901.2,37099194.67,8401389.2,363,WX56YZ,2057671.76,268110003
3990388357,Odhiambo,37354857,Retail,KES,2023-01-04,2023-05-02,14.95,30657947.4,19611073.79,7763077.56,171,EF34GH,1251012.18,268110000
9397635475,Odhiambo,84828353,Corporate,KES,2021-10-08,2023-06-06,11.77,17175240.78,74427949.34,7531348.24,292,OP12QR,2117913.26,268110003
3257513366,Achieng,30261797,Term Loan,KES,2023-08-22,2023-01-12,14.83,29538908.65,110380308.1,4951105.54,233,CD56EF,2378095.25,268110002
2801257369,Wanjiku,54870779,Staff,KES,2021-05-28,2023-01-19,9.55,30046341.44,11995294.97,7240733.79,335,MN78OP,2205166.49,268110005
3593598580,Achieng,16979469,Asset Finance,KES,2022-06-21,2023-04-07,9.68,83069381.51,44342063.58,9048317.96,54,CD56EF,2363676.65,268110003
317126183,Kamau,51116046,Term Loan,USD,2021-12-13,2023-06-26,14.47,62799533.68,88422355.22,186297.74,52,IJ56KL,2152136.21,268110001
7479967891,Mwangi,65203558,Corporate,KES,2022-08-21,2023-08-15,12.97,37214552.55,2607070.38,2893863.38,243,WX56YZ,2497862.41,268110001
103004722,Muthoni,90487837,Retail,KES,2021-01-04,2023-06-24,11.22,28440661.09,93571929.29,2038746.35,100,EF34GH,892726.22,268110005
2784022255,Ochieng,86623039,Corporate,KES,2021-10-11,2023-06-12,13.68,89439720.48,119050220.6,9976261.59,3,WX56YZ,3247792.71,268110056
9786647137,Auma,21030713,Asset Finance,USD,2023-05-17,2023-04-02,11,56448999.06,62376000.4,1689893.5,4,WX56YZ,1488149.9,268110005
1650009489,Auma,1716169,Retail,USD,2021-08-16,2023-04-26,10.99,47344867.48,84333713.71,3757470.32,188,MN78OP,1891861.75,268110001
4681259302,Achieng,99906449,Retail,KES,2022-11-03,2023-08-23,14.99,54759626.5,18493137.22,9964206.9,157,MN78OP,700923.69,268110002
3953155347,Mwangi,23361311,Retail,KES,2021-03-27,2023-03-09,13.21,84485813,110979117.9,8178745.87,5,MN78OP,1576870.64,268110004
8591981090,Wanjiku,103753570,Corporate,KES,2022-03-28,2023-03-23,13.38,2273614.62,84758912.93,1696370.19,102,OP12QR,1818820.09,268110005
8432979147,Wanjiku,20346207,Asset Finance,KES,2021-11-30,2023-01-09,12.11,60528391.45,90355804.48,8832065.63,292,EF34GH,3300735.68,268110005
9976274670,Muthoni,18864852,Asset Finance,KES,2021-10-19,2023-01-27,14.9,11744267.33,17848002.96,2211954.67,352,AB78CD,2253312.34,268110004
8321062294,Auma,89558692,Corporate,KES,2021-05-09,2023-08-26,10.52,82439341.4,78935560.3,1603514.82,58,OP12QR,1397078.51,268110056
8161570048,Omondi,11547953,Term Loan,KES,2023-08-27,2023-09-01,15.94,85224094.06,27999167.29,8518844.57,298,CD56EF,2342004.77,268110004
3614693440,Kamau,101973134,Asset Finance,KES,2021-05-30,2023-09-11,9.42,22225691.86,49648936.72,2105179.96,116,OP12QR,2762436.02,268110004
2027196329,Auma,74907188,Asset Finance,KES,2021-04-16,2023-08-22,10.71,18000308.27,119923908.6,9777266.58,272,EF34GH,1528603.9,268110003
68320771,Mwangi,101999157,Term Loan,USD,2021-03-27,2023-01-22,13.68,48539490,110750022.1,5295773,6,WX56YZ,682747.09,268110002
6821544584,Ochieng,98734721,Retail,KES,2022-05-18,2023-04-28,11.05,22797717.86,28533466.53,7534335.76,200,EF34GH,1576050.32,268110004
1239682518,Achieng,82485352,Retail,KES,2023-07-04,2023-05-16,10.08,84089533.58,71304282.47,9559411.21,141,WX56YZ,3231894.12,268110000
4298866686,Mwangi,63811197,Retail,KES,2022-03-23,2023-01-13,14.45,41061489.14,108585523.5,9332773.68,171,CD56EF,820017.13,268110005
3987433936,Njeri,62224965,Term Loan,KES,2023-05-20,2023-03-08,15.4,39052433.59,81190714.17,4514615.42,232,WX56YZ,2284773.89,268110005
